Generic code,IC50,new IC50 [CI95%] (uM)
mPP-0293,1.88,1.88  [  0.51  -  5.126  ]
mPP-0297,54.445,54.445  [  49.794  -  59.363  ]
mPP-0294,72.85,72.85  [  70.999  -  74.658  ]
mPP-0290,230.142,230.142  [  134.056  -  418.355  ]
mPP-0292,2213.152,2213.152  [  837.462  -  9764.345  ]
mPP-0286,,NA  [  NA  -  NA  ]
mPP-0288,,NA  [  NA  -  NA  ]
mPP-0289,,NA  [  NA  -  NA  ]
mPP-0287,,NA  [  NA  -  NA  ]
mPP-0291,,NA  [  NA  -  NA  ]
mPP-0295,,NA  [  NA  -  NA  ]
mPP-0296,,NA  [  NA  -  NA  ]
mPP-0298,,NA  [  NA  -  NA  ]
mPP-0299,,NA  [  NA  -  NA  ]
mPP-0300,,NA  [  NA  -  NA  ]
